EBUS      MorningReturn      MorningChargeEnd      MorSoCReturn     MorSoCDesired     MorChargetimereq 
   1            117             144          54.00         132.89           7.00 
   2            102             144          66.65          96.34           5.00 
   3            129             144          38.20         178.54           9.00 
   4            130             144          60.11         115.24           6.00 
   5             99             144          69.15          89.13           5.00 
   6            121             144          42.51         166.09           9.00 
   7            115             144          51.23         140.88           8.00 
   8            105             144          37.27         181.23          10.00 
   9            108             144          63.60         105.16           6.00 
  10            110             144          56.55         125.53           7.00 
  11            119             144          38.34         178.12           9.00 
  12            116             144          48.17         149.73           8.00 
  13            129             144          53.09         135.53           7.00 
  14            109             144          57.59         122.52           7.00 
  15             96             144          53.22         135.13           7.00 
  16            123             144          48.69         148.22           8.00 
  17            112             144          41.35         169.43           9.00 
  18            102             144          35.89         185.19          10.00 
  19            124             144          50.18         143.93           8.00 
  20            126             144          49.91         144.69           8.00 
  21            117             144          42.22         166.91           9.00 
  22            103             144          41.35         169.44           9.00 
  23            105             144          46.87         153.48           8.00 
  24            115             144          44.34         160.80           9.00 
  25            102             144          60.83         113.15           6.00 
  26             96             144          52.21         138.06           7.00 
  27            107             144          39.43         174.98           9.00 
  28            125             144          64.91         101.38           6.00 
  29            119             144          36.97         182.10          10.00 
  30            123             144          38.26         178.37           9.00 
  31            113             144          48.36         149.17           8.00 
  32             97             144          49.19         146.77           8.00 
  33            119             144          56.22         126.47           7.00 
  34            113             144          68.73          90.35           5.00 
  35            107             144          63.08         106.65           6.00 
  36            117             144          55.21         129.40           7.00 
  37            110             144          54.03         132.80           7.00 
  38            130             144          31.38         198.25          10.00 
  39            117             144          32.52         194.93          10.00 
  40            123             144          31.23         198.66          10.00 
  41             98             144          69.13          89.17           5.00 
  42            107             144          51.20         140.99           8.00 
  43            101             144          37.92         179.34           9.00 
  44            107             144          35.36         186.73          10.00 
  45            124             144          43.39         163.54           9.00 
  46            114             144          65.23         100.44           6.00 
  47            105             144          52.78         136.40           7.00 
  48            124             144          68.57          90.79           5.00 
  49            120             144          49.74         145.19           8.00 
  50            105             144          50.50         143.00           8.00 
  51            118             144          64.28         103.20           6.00 
  52            111             144          41.80         168.13           9.00 
  53             99             144          42.15         167.12           9.00 
  54            126             144          37.81         179.66           9.00 
  55            122             144          50.68         142.49           8.00 
  56            126             144          63.91         104.25           6.00 
  57            110             144          61.11         112.35           6.00 
  58            114             144          49.47         145.98           8.00 
  59            131             144          48.63         148.40           8.00 
  60            129             144          61.98         109.84           6.00 
  61            110             144          47.01         153.08           8.00 
  62             98             144          41.49         169.04           9.00 
  63            101             144          65.25         100.40           6.00 
  64            117             144          32.20         195.88          10.00 
  65            126             144          37.11         181.68          10.00 
  66            125             144          66.65          96.36           5.00 
  67            106             144          62.27         108.98           6.00 
  68            125             144          43.59         162.95           9.00 
  69            112             144          40.81         170.98           9.00 
  70            100             144          40.91         170.70           9.00 
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

EBUS      EveningReturn      EveningChargeEnd      EveSoCReturn    EveSoCDesired      EveChargetimereq 
   1            197             288          49.96         144.57           8.00 
   2            211             288          49.80         145.01           8.00 
   3            177             288          41.51         168.97           9.00 
   4            211             288          48.78         147.96           8.00 
   5            205             288          42.18         167.04           9.00 
   6            194             288          50.19         143.89           8.00 
   7            215             288          53.42         134.56           7.00 
   8            204             288          59.44         117.16           6.00 
   9            211             288          39.67         174.28           9.00 
  10            190             288          67.79          93.06           5.00 
  11            209             288          63.45         105.59           6.00 
  12            187             288          35.73         185.68          10.00 
  13            182             288          49.65         145.45           8.00 
  14            214             288          36.17         184.39          10.00 
  15            214             288          50.59         142.73           8.00 
  16            214             288          48.33         149.27           8.00 
  17            214             288          39.91         173.58           9.00 
  18            169             288          31.61         197.58          10.00 
  19            189             288          47.25         152.39           8.00 
  20            215             288          38.14         178.69           9.00 
  21            172             288          45.81         156.55           8.00 
  22            185             288          52.47         137.31           7.00 
  23            206             288          55.05         129.87           7.00 
  24            175             288          68.04          92.32           5.00 
  25            203             288          60.09         115.29           6.00 
  26            195             288          47.52         151.62           8.00 
  27            187             288          36.12         184.55          10.00 
  28            208             288          35.26         187.03          10.00 
  29            168             288          40.95         170.60           9.00 
  30            189             288          51.88         139.02           7.00 
  31            169             288          40.23         172.66           9.00 
  32            177             288          34.54         189.12          10.00 
  33            176             288          31.48         197.96          10.00 
  34            189             288          43.13         164.28           9.00 
  35            184             288          66.01          98.19           5.00 
  36            174             288          56.01         127.09           7.00 
  37            183             288          43.70         162.65           9.00 
  38            184             288          46.45         154.71           8.00 
  39            170             288          45.27         158.12           8.00 
  40            197             288          68.02          92.40           5.00 
  41            194             288          67.92          92.68           5.00 
  42            194             288          50.63         142.62           8.00 
  43            186             288          43.86         162.18           9.00 
  44            194             288          49.14         146.92           8.00 
  45            181             288          62.34         108.80           6.00 
  46            175             288          38.54         177.56           9.00 
  47            174             288          55.65         128.11           7.00 
  48            191             288          62.19         109.24           6.00 
  49            202             288          42.12         167.20           9.00 
  50            174             288          35.39         186.66          10.00 
  51            192             288          54.94         130.16           7.00 
  52            187             288          31.93         196.65          10.00 
  53            188             288          54.38         131.80           7.00 
  54            176             288          47.77         150.88           8.00 
  55            196             288          47.89         150.54           8.00 
  56            215             288          54.63         131.08           7.00 
  57            201             288          37.15         181.58          10.00 
  58            168             288          33.55         191.97          10.00 
  59            183             288          58.68         119.36           6.00 
  60            170             288          44.90         159.16           8.00 
  61            179             288          61.80         110.35           6.00 
  62            178             288          53.94         133.07           7.00 
  63            168             288          66.20          97.64           5.00 
  64            206             288          54.80         130.58           7.00 
  65            168             288          51.89         138.97           7.00 
  66            186             288          48.71         148.18           8.00 
  67            178             288          60.15         115.13           6.00 
  68            199             288          59.80         116.14           6.00 
  69            206             288          66.99          95.37           5.00 
  70            215             288          47.14         152.69           8.00 
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

EBUS      MorningReturn      MorningChargeEnd      MorSoCReturn     MorSoCDesired     MorChargetimereq 
   1            117             144          54.00          60.67           4.00 
   2            102             144          66.65          24.11           2.00 
   3            129             144          38.20         106.32           6.00 
   4            130             144          60.11          43.02           3.00 
   5             99             144          69.15          16.90           1.00 
   6            121             144          42.51          93.87           5.00 
   7            115             144          51.23          68.66           4.00 
   8            105             144          37.27         109.01           6.00 
   9            108             144          63.60          32.94           2.00 
  10            110             144          56.55          53.31           3.00 
  11            119             144          38.34         105.90           6.00 
  12            116             144          48.17          77.51           4.00 
  13            129             144          53.09          63.31           4.00 
  14            109             144          57.59          50.30           3.00 
  15             96             144          53.22          62.91           4.00 
  16            123             144          48.69          76.00           4.00 
  17            112             144          41.35          97.21           5.00 
  18            102             144          35.89         112.97           6.00 
  19            124             144          50.18          71.71           4.00 
  20            126             144          49.91          72.47           4.00 
  21            117             144          42.22          94.69           5.00 
  22            103             144          41.35          97.22           5.00 
  23            105             144          46.87          81.26           5.00 
  24            115             144          44.34          88.58           5.00 
  25            102             144          60.83          40.93           3.00 
  26             96             144          52.21          65.83           4.00 
  27            107             144          39.43         102.75           6.00 
  28            125             144          64.91          29.16           2.00 
  29            119             144          36.97         109.87           6.00 
  30            123             144          38.26         106.15           6.00 
  31            113             144          48.36          76.95           4.00 
  32             97             144          49.19          74.55           4.00 
  33            119             144          56.22          54.24           3.00 
  34            113             144          68.73          18.13           1.00 
  35            107             144          63.08          34.43           2.00 
  36            117             144          55.21          57.17           3.00 
  37            110             144          54.03          60.58           4.00 
  38            130             144          31.38         126.02           7.00 
  39            117             144          32.52         122.71           7.00 
  40            123             144          31.23         126.44           7.00 
  41             98             144          69.13          16.95           1.00 
  42            107             144          51.20          68.77           4.00 
  43            101             144          37.92         107.12           6.00 
  44            107             144          35.36         114.51           6.00 
  45            124             144          43.39          91.32           5.00 
  46            114             144          65.23          28.22           2.00 
  47            105             144          52.78          64.18           4.00 
  48            124             144          68.57          18.57           1.00 
  49            120             144          49.74          72.96           4.00 
  50            105             144          50.50          70.77           4.00 
  51            118             144          64.28          30.98           2.00 
  52            111             144          41.80          95.91           5.00 
  53             99             144          42.15          94.90           5.00 
  54            126             144          37.81         107.44           6.00 
  55            122             144          50.68          70.27           4.00 
  56            126             144          63.91          32.03           2.00 
  57            110             144          61.11          40.13           3.00 
  58            114             144          49.47          73.76           4.00 
  59            131             144          48.63          76.18           4.00 
  60            129             144          61.98          37.62           2.00 
  61            110             144          47.01          80.86           5.00 
  62             98             144          41.49          96.82           5.00 
  63            101             144          65.25          28.18           2.00 
  64            117             144          32.20         123.65           7.00 
  65            126             144          37.11         109.46           6.00 
  66            125             144          66.65          24.14           2.00 
  67            106             144          62.27          36.76           2.00 
  68            125             144          43.59          90.73           5.00 
  69            112             144          40.81          98.76           5.00 
  70            100             144          40.91          98.48           5.00 
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

EBUS      EveningReturn      EveningChargeEnd      EveSoCReturn    EveSoCDesired      EveChargetimereq 
   1            197             288          49.96         144.57           8.00 
   2            211             288          49.80         145.01           8.00 
   3            177             288          41.51         168.97           9.00 
   4            211             288          48.78         147.96           8.00 
   5            205             288          42.18         167.04           9.00 
   6            194             288          50.19         143.89           8.00 
   7            215             288          53.42         134.56           7.00 
   8            204             288          59.44         117.16           6.00 
   9            211             288          39.67         174.28           9.00 
  10            190             288          67.79          93.06           5.00 
  11            209             288          63.45         105.59           6.00 
  12            187             288          35.73         185.68          10.00 
  13            182             288          49.65         145.45           8.00 
  14            214             288          36.17         184.39          10.00 
  15            214             288          50.59         142.73           8.00 
  16            214             288          48.33         149.27           8.00 
  17            214             288          39.91         173.58           9.00 
  18            169             288          31.61         197.58          10.00 
  19            189             288          47.25         152.39           8.00 
  20            215             288          38.14         178.69           9.00 
  21            172             288          45.81         156.55           8.00 
  22            185             288          52.47         137.31           7.00 
  23            206             288          55.05         129.87           7.00 
  24            175             288          68.04          92.32           5.00 
  25            203             288          60.09         115.29           6.00 
  26            195             288          47.52         151.62           8.00 
  27            187             288          36.12         184.55          10.00 
  28            208             288          35.26         187.03          10.00 
  29            168             288          40.95         170.60           9.00 
  30            189             288          51.88         139.02           7.00 
  31            169             288          40.23         172.66           9.00 
  32            177             288          34.54         189.12          10.00 
  33            176             288          31.48         197.96          10.00 
  34            189             288          43.13         164.28           9.00 
  35            184             288          66.01          98.19           5.00 
  36            174             288          56.01         127.09           7.00 
  37            183             288          43.70         162.65           9.00 
  38            184             288          46.45         154.71           8.00 
  39            170             288          45.27         158.12           8.00 
  40            197             288          68.02          92.40           5.00 
  41            194             288          67.92          92.68           5.00 
  42            194             288          50.63         142.62           8.00 
  43            186             288          43.86         162.18           9.00 
  44            194             288          49.14         146.92           8.00 
  45            181             288          62.34         108.80           6.00 
  46            175             288          38.54         177.56           9.00 
  47            174             288          55.65         128.11           7.00 
  48            191             288          62.19         109.24           6.00 
  49            202             288          42.12         167.20           9.00 
  50            174             288          35.39         186.66          10.00 
  51            192             288          54.94         130.16           7.00 
  52            187             288          31.93         196.65          10.00 
  53            188             288          54.38         131.80           7.00 
  54            176             288          47.77         150.88           8.00 
  55            196             288          47.89         150.54           8.00 
  56            215             288          54.63         131.08           7.00 
  57            201             288          37.15         181.58          10.00 
  58            168             288          33.55         191.97          10.00 
  59            183             288          58.68         119.36           6.00 
  60            170             288          44.90         159.16           8.00 
  61            179             288          61.80         110.35           6.00 
  62            178             288          53.94         133.07           7.00 
  63            168             288          66.20          97.64           5.00 
  64            206             288          54.80         130.58           7.00 
  65            168             288          51.89         138.97           7.00 
  66            186             288          48.71         148.18           8.00 
  67            178             288          60.15         115.13           6.00 
  68            199             288          59.80         116.14           6.00 
  69            206             288          66.99          95.37           5.00 
  70            215             288          47.14         152.69           8.00 
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

